sample	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
GENIE-MSK-P-0000057-T01-IM3	0.1157	0.1313	0.0251	-0.1481	-0.224	0.1466	-0.0068	0.1886	-0.0466	0.4555	-0.3434	-0.2504	0.3038	0.1753	-0.2402	-0.3001	-0.3054	-0.1568	0.1374	0.0935	0.0306	-0.2164	-0.312	0.1477	-0.0813	0.1755	0.1755	0.141	-0.0382	0.1948	0.1946	0.0035	-0.2255	0.2343	-0.246	-0.206	0.5123	-0.3291	0.0176	-0.2642	-0.1848
GENIE-MSK-P-0000062-T01-IM3	-0.2039	-0.2545	-0.3578	-0.1396	-0.0753	0.0738	0.0583	0.1604	-0.0658	-0.2648	-0.3236	0.0506	0.1267	0.7245	-0.1833	0.1025	0.2208	-4e-04	-0.0835	0.0947	-0.237	-0.2443	0.3039	0.121	-0.0321	-0.1998	0.3086	-0.206	-0.3306	0.001	-0.4547	-0.1501	-0.2984	0.1463	-0.1283	-0.0685	-0.0685	-0.0148	-0.0616	0.123	-0.0613
GENIE-MSK-P-0000063-T01-IM3	1.004	-0.5256	-0.1187	-0.4573	0.0214	-0.0084	0.2975	-0.5914	-0.0044	-0.0684	-0.0684	0.0141	0.0178	0.4876	-0.6502	-0.0295	-0.0295	-0.0362	0.284	-0.0736	-0.0715	-0.1356	-0.1189	0.2093	-0.5479	0.4197	0.4335	0.1279	-0.4922	0.4957	-0.6768	0.2269	0.2638	0.0102	-0.0816	-0.473	0.1085	-0.1136	-0.0543	-0.1197	-0.1166
GENIE-MSK-P-0000071-T01-IM3	0.09	0.09	0.1589	0.1589	-0.0269	0.1109	0.0103	0.1043	-0.0694	-0.0265	0.0711	-0.0614	-0.0476	-0.068	-0.0437	-0.0482	-0.0482	0.0746	0.0638	0.11	0.0937	-0.0183	0.0934	0.0013	0.0013	0.0672	0.0672	-0.1581	-0.1581	-0.0135	-0.0135	0.2372	0.0545	0.0315	0.0315	0.0615	0.0615	-0.0256	-0.0837	0.0176	0.0176
GENIE-MSK-P-0000082-T01-IM3	0.1388	0.1203	0.0769	0.0769	0.1083	0.1083	-0.3462	-0.1252	-0.3429	-0.2118	-0.2118	-0.3279	0.2933	-0.0957	-0.0957	0.0793	0.0934	-0.0635	0.3523	-0.0737	0.1029	0.4024	-0.1427	0.2282	0.2282	0.0903	-0.1003	0.0442	0.0442	0.0398	0.0398	-0.0285	-0.3051	0.0979	0.0979	-0.0787	0.4272	0.0972	0.0972	0.0543	0.0905
GENIE-MSK-P-0000088-T01-IM3	-0.0712	-0.0666	0.0438	0.0977	-0.152	0.0053	0.0272	-0.1581	-0.1028	-0.0189	0.1113	-0.1436	0.0952	-0.2578	-0.2578	0.0442	-0.1037	-0.0198	-0.0198	-0.167	0.1228	-0.0181	0.0648	-0.0153	-0.0153	-0.0383	-0.0383	-0.174	-0.2572	-0.0135	-0.0135	0.0245	-0.165	-0.0609	-0.0609	-0.2058	0.0073	-0.1208	-0.1208	0.0027	0.0027
GENIE-MSK-P-0000103-T01-IM3	0.164	-0.3146	-0.0482	-0.3115	0.292	0.23	-0.3947	0.1191	-0.0333	-0.3559	-0.3593	-0.3614	-0.0064	-0.0845	-0.2794	-0.058	-0.058	-0.0098	-0.074	0.0886	0.5151	-0.3089	-0.0197	-0.0417	0.0056	-0.0276	-0.0276	-0.3226	-0.3487	0.4792	-0.3447	-0.0346	-0.0167	0.31	0.0033	-0.1358	0.024	0.061	0.061	-0.4711	0.1599
GENIE-MSK-P-0000121-T01-IM3	-0.0758	-0.0758	-0.1552	-0.1552	-5e-04	-5e-04	0.0035	-0.0271	0.0581	0.0623	0.0623	-0.0361	-0.1025	0.0088	5e-04	0.1151	0.1149	0.0194	0.0194	-0.0451	-0.0451	0.0272	0.1155	-0.008	-0.008	-0.0364	-0.0364	-0.2352	-0.2586	-0.0855	-0.0855	0.0074	0.0075	0.0656	0.1	0.0521	0.0521	-0.1037	-0.1037	-0.0484	-0.0124
GENIE-MSK-P-0000165-T01-IM3	-0.2406	-0.2406	-0.0719	-0.0719	-0.0479	-0.0479	0.1161	0.1991	-0.1433	0.0968	-0.0348	0.033	0.0363	0.1567	-0.1404	-0.2047	-0.2047	0.1914	0.1914	0.142	0.2347	0.1628	0.0209	-0.0033	-0.0033	-0.1119	-0.1119	0.0074	0.0074	0.2158	-0.3023	0.1797	0.184	0.1863	0.1169	-0.5134	0.2587	-0.3731	-0.2425	-0.1413	-0.1164
GENIE-MSK-P-0000184-T01-IM3	-0.0313	-0.0313	-0.2657	-0.2657	-0.1158	-0.1158	-0.086	-0.0061	0.138	0.0339	0.2075	-0.1064	0.1408	-0.1053	-0.1081	-0.2304	0.2152	-0.008	0.0191	-0.0624	0.5379	0.0868	0.1812	0.0331	0.0331	-0.1175	0.1768	-0.3033	0.0695	0.0944	0.0944	-0.0651	-0.0651	-0.2919	0.2327	-0.2749	0.2584	0.0346	0.0349	-0.0892	-0.0892
GENIE-MSK-P-0000205-T01-IM3	0.1032	-0.3175	-0.1393	-0.1393	-0.3723	-0.3723	-0.1045	0.3439	-0.1276	0.1066	-0.0685	-0.2772	0.1324	-0.0392	-0.0392	-0.0791	0.2373	-0.0778	0.2834	0.2674	0.2674	-0.0178	0.0209	-0.0662	-0.0662	-0.3006	-0.1605	-0.1276	-0.1276	0.247	-0.1207	0.0588	0.0589	0.2702	0.1339	-0.1647	-0.1647	-0.2631	-0.1113	-0.1311	0.3545
GENIE-MSK-P-0000208-T01-IM3	0.1768	-0.0402	0.0472	0.0472	-0.0193	-0.0193	-0.0295	0.3015	-0.0427	0.0504	-0.0358	-0.2251	0.0454	-0.0167	-0.0167	0.0391	0.0391	-0.0287	0.0017	-0.0159	-0.1457	0.1274	-0.2669	-0.0092	-0.0092	-0.021	-0.043	-0.0118	-0.0118	0.189	0.1861	0.0814	0.0814	0.3446	0.1773	-0.0255	-0.0255	-0.1268	-0.0344	-0.2142	-0.1428
GENIE-MSK-P-0000222-T01-IM3	0.2291	0.0444	0.0325	0.0306	0.0269	0.0048	0.3571	0.0315	-0.069	0.0757	0.2006	0.0185	0.3034	0.0451	0.0451	-0.15	0.4705	0.0138	0.1141	0.1063	0.231	0.0958	-0.1554	-0.027	-0.027	0.0973	0.0973	-0.1349	-0.0606	0.0266	0.0273	0.0581	-0.0521	0.1044	0.0777	-0.1315	0.0215	-0.2414	-0.1401	-0.0493	-0.038
GENIE-MSK-P-0000223-T01-IM3	0.1725	-0.1487	-0.0153	0.5354	0.0613	-0.0567	0.08	0.0093	-0.1027	-0.0899	-0.1199	-0.0045	-0.0679	-0.0642	0.0021	-0.092	-0.09	-0.0072	-0.0599	0.351	0.1044	-0.0615	-0.0523	-0.1142	-0.0881	-0.0338	-0.0509	0.1765	-0.0458	0.0332	0.0174	-0.0977	-0.0301	-0.0411	0.3155	-0.0889	0.4961	-0.5136	-0.0432	-0.2478	-0.3254
GENIE-MSK-P-0000227-T01-IM3	-0.004	-0.004	0.1117	0.0805	-0.0722	-0.0819	-0.064	0.0701	0.1051	0.0073	-0.018	-0.1193	-0.0926	0.0919	0.0919	0.0191	0.0353	-0.0752	-0.0752	-0.0335	-0.0335	0.0055	-0.1014	-0.0413	-0.0413	-0.0476	-0.0191	-0.0152	-0.0152	-0.0075	0.0561	-0.0085	-0.0085	0.0685	0.0807	0.0696	0.0696	-0.0501	-0.0501	-0.0511	-0.0511
GENIE-MSK-P-0000235-T01-IM3	0.0168	0.0615	0.0902	0.0902	0.1427	0.1265	-0.4009	0.1165	0.107	0.1356	0.1356	-0.3259	0.0712	0.0659	0.0659	0.0936	0.0936	0.0468	0.0468	0.039	0.039	0.0709	0.2545	0.084	0.084	-0.3688	0.2669	-0.3455	0.222	0.0675	0.0675	-0.3068	0.0754	0.083	0.083	-0.3652	0.3738	-0.4238	0.1418	-0.0183	-0.0183
GENIE-MSK-P-0000247-T01-IM3	-0.0302	-0.0877	-0.0855	-0.0855	-0.0195	0.0748	-0.0621	-0.0473	-0.0017	0.0063	-0.0177	-0.087	0.1215	-0.0367	-0.0367	-0.1256	-0.0829	-0.0498	0.1883	-0.0704	0.0731	-0.0658	-0.1907	0.0232	0.0232	-0.0062	-0.0062	-0.0478	-0.0478	-0.0502	0.0443	0.0626	0.0829	0.0601	-0.0262	-0.1236	0.2652	-0.0945	-0.0945	-0.0761	-0.0941
GENIE-MSK-P-0000249-T02-IM3	-0.0239	-0.018	0.1116	0.1116	-0.0461	-0.0836	0.1829	-0.0969	0.049	8e-04	0.0622	0.0207	0.0207	0.173	-0.0983	0.0751	0.2366	0.0781	0.1336	0.0177	0.2638	0.0746	0.1564	0.0787	0.0061	-0.097	-0.1689	-0.1317	-0.1317	-0.0357	-0.0955	0.1041	-0.001	0.004	0.004	-0.1026	0.0817	-0.2075	-0.0741	-0.0715	-0.1671
GENIE-MSK-P-0000268-T01-IM3	-0.0366	-0.0366	-0.0078	-0.0078	0.0143	0.0143	-0.039	-0.0273	0.0892	0.1211	0.0583	0.0507	0.0507	-0.0547	-0.0547	0.0021	0.0021	0.0497	0.0363	0.0353	0.0353	-0.0671	0.0351	0.036	0.0118	0.0195	0.0195	-0.1203	-0.1203	-0.005	-0.005	2e-04	2e-04	-0.0375	-0.0465	-0.0197	-0.0197	-0.0731	-0.0731	0.0415	0.0084
GENIE-MSK-P-0000277-T01-IM3	0.0352	0.0352	0.0346	-0.1944	0.0206	0.0206	0.0026	-0.0232	-0.0122	0.117	0.117	-0.0275	-0.0275	-0.0596	-0.0596	0.0336	0.0102	-0.0161	-0.0161	0.0192	0.0192	0.0922	0.032	0.0028	0.0369	0.0268	0.0268	-0.0582	-0.0571	0.3452	0.3449	-0.4172	-0.4405	0.3783	0.3783	0.0472	0.0472	-0.5185	-0.4653	-0.174	-0.174
GENIE-MSK-P-0000302-T01-IM3	0.0268	0.0268	0.0506	0.0506	0.055	0.055	0.0151	0.0495	0.0297	0.0417	0.0417	0.0738	0.0738	0.0425	0.0425	0.0563	0.0563	0.0488	0.0488	0.045	0.045	0.0485	0.0825	0.0368	0.0368	0.0363	0.0363	-0.0027	-0.0027	0.0025	0.0025	0.0958	0.052	0.0339	0.0339	0.0367	0.0367	0.01	0.01	0.013	0.013
GENIE-MSK-P-0000350-T01-IM3	-0.0998	-0.0879	-0.1216	-0.1216	-0.0837	-0.0993	-0.0719	-0.113	-0.1438	0.1536	0.1536	0.089	0.0854	-0.2637	-0.2341	-0.1845	-0.1845	-0.0616	-0.0803	0.0967	0.0648	-0.1129	-0.1364	0.0898	0.0898	-0.0751	-0.0729	-0.0856	-0.0856	-0.0738	-0.0738	0.0113	-0.005	-0.0087	-0.0087	0.0136	0.0321	-0.0737	-0.0737	-0.0357	-0.0357
GENIE-MSK-P-0000363-T01-IM3	0.0476	0.0476	0.0079	-0.0706	-0.0037	-0.0037	0.0476	0.0663	0.0408	0.0244	0.0244	0.1695	-0.0303	-0.1331	-0.1331	-0.0166	0.0304	-0.1409	0.2546	0.0559	0.1249	-0.0946	0.1184	0.0388	0.0388	-0.1051	0.3011	-0.1003	-0.1003	0.2776	-0.1571	0.208	-0.0856	0.0362	-0.0626	-0.0916	0.2431	0.0529	-0.1065	0.0734	0.0734
GENIE-MSK-P-0000369-T01-IM3	-0.0471	-0.0736	-0.0593	-0.0593	-0.0354	-0.0599	-0.0092	-0.0506	-0.0546	-0.0241	-0.0241	-0.0405	-0.0405	-0.0117	-0.0117	0.0731	0.0721	-0.0562	-0.0562	-0.0528	-0.0528	-0.0991	-0.0357	-0.0047	-0.0047	-0.074	-0.0645	-0.0052	-0.0052	-0.0868	-0.0868	-0.1157	-0.0282	0.0515	0.0605	-0.0318	-0.0318	-0.0647	-0.0647	-0.011	-0.011
GENIE-MSK-P-0000392-T01-IM3	-0.0528	-0.0528	-0.1067	-0.0154	-0.0079	-0.0079	-0.0813	-0.0754	-1e-04	-0.0508	-0.0508	-0.0316	-0.0316	-0.0332	-0.0332	-0.0192	-0.0192	0.0359	0.0359	-0.0925	-0.0925	-0.0707	-0.0492	0.0319	0.0319	0.0264	0.0264	-0.0018	-0.0018	-0.009	-0.009	0.0578	0.0377	-0.004	0.0296	0.0043	0.0043	-0.0306	-0.0306	-0.0337	-0.0337
GENIE-MSK-P-0000422-T01-IM3	-0.1723	-0.1652	-7e-04	-0.3622	0.0925	0.0925	-0.1647	-0.0758	0.0377	0.4321	-0.3874	-0.4319	0.1254	0.014	-0.2128	-0.1653	-0.1653	-0.3848	0.6339	0.1551	0.1551	0.0609	-0.053	-0.1322	-0.1322	-0.1147	-0.1347	-0.2282	-0.2282	0.0468	0.0466	0.1327	-0.2683	-0.0409	-0.0409	-0.2373	-0.2373	-0.063	-0.1748	-0.1246	-0.1246
GENIE-MSK-P-0000423-T01-IM3	0.4397	-0.1787	0.1049	0.1049	-0.3997	0.0011	-0.0453	0.2165	0.0194	-0.3298	-0.3522	-0.2822	0.2187	0.2473	-0.2967	0.1366	0.1225	0.0716	0.0716	-0.2372	0.2791	0.083	-0.3426	0.0993	0.0993	0.1319	0.1319	-0.2817	-0.2817	0.6755	0.0226	-0.0015	-0.0015	0.1709	0.1709	0.0244	0.0244	-0.2147	-0.2137	-0.0562	0.0151
GENIE-MSK-P-0000444-T01-IM3	-0.0667	-0.0961	-0.1532	-0.0775	-0.1135	-0.1135	-0.2036	-0.1268	-0.1254	0.0108	0.0671	-0.126	0.0626	-0.287	-0.287	-0.3082	0.2234	-0.2095	0.1282	0.1764	0.1764	-0.2257	-0.1069	0.1156	0.1274	-0.1122	0.1551	-0.0108	0.0925	0.074	0.0743	0.0182	0.0182	0.3441	0.1759	-0.2167	0.1822	0.0123	-0.1445	-0.155	-0.0725
GENIE-MSK-P-0000447-T01-IM3	0.3505	-0.2055	0.1175	0.0562	-0.2608	-0.2608	0.0745	-0.265	-0.1676	-0.3174	-0.2121	-0.1964	-0.1597	0.0027	0.0027	0.1205	0.2274	0.2018	0.1953	0.1943	0.1943	-0.1496	-0.2455	0.3232	0.1474	-0.0416	-0.0763	-0.3514	-0.2309	0.3322	-0.2224	0.2748	-0.2066	0.4209	0.1453	-0.0604	0.0691	-0.2108	0.0678	-0.3505	-0.0492
GENIE-MSK-P-0000454-T01-IM3	0.0055	0.0055	-0.0347	-0.0347	0.0448	9e-04	0.0456	0.001	0.027	0.0124	0.0124	-0.0286	-0.0286	0.044	0.044	0.0113	0.0113	0.0103	0.0302	0.0338	0.0338	0.0012	0.003	0.0332	0.0332	0.117	0.117	0.1222	0.1222	0.0133	0.0133	0.021	0.021	0.0369	0.0369	0.0975	0.0975	0.1166	0.1166	-0.0559	-0.0395
GENIE-MSK-P-0000458-T01-IM3	0.016	0.016	0.0776	0.0776	0.0354	0.0402	0.0336	0	0.0495	0.168	0.168	0.0631	0.0722	0.0128	0.0128	0.1487	0.1487	0.0686	0.0683	0.0119	0.0119	0.0327	0.149	0.0276	0.036	0.0412	0.0412	0.0026	0.0026	0.0235	0.0398	-0.0187	-0.0187	0.0591	0.0184	0.042	0.0581	-6e-04	0.0016	-0.1546	-0.1546
GENIE-MSK-P-0000535-T01-IM3	-0.0674	-0.2093	-0.0249	0.0262	-0.0623	-0.2505	-0.113	0.0379	-0.2034	-0.0299	-0.0299	-0.1465	-0.1292	0.0578	-0.0913	0.1549	0.1549	0.0491	0.0584	0.1008	0.1008	0.0282	-0.0778	0.1884	0.1934	-0.0205	-0.0205	-0.0107	0.026	0.1175	0.0446	-0.2119	-0.2119	0.1561	0.1561	0.15	0.15	-0.1529	0.0483	0.0171	0.0171
GENIE-MSK-P-0000544-T01-IM3	-0.0138	-0.0409	0.0487	0.0487	0.0435	0.0435	0.031	0.0151	-0.0365	-0.002	-0.002	0.067	0.067	0.0457	0.0457	0.0046	0.0046	0.0111	0.0111	-0.0833	-0.0833	-0.0761	0.0091	0.0515	0.0515	0.0839	0.0839	0.0929	0.0929	0.0511	-0.0086	0.0652	0.0652	0.0517	0.0517	0.0252	0.0252	-0.0138	-0.0138	-0.0148	-0.0148
GENIE-MSK-P-0000547-T01-IM3	0.2138	0.2353	-0.1187	-0.2801	-0.0025	-0.0557	-0.0252	-0.275	-0.0673	-0.1639	-0.4876	-0.5732	0.1057	9e-04	9e-04	-0.2128	-0.1402	-0.0201	0.6891	-0.0635	-0.0635	-0.0534	-0.1338	-0.0403	-0.0403	-0.0132	-0.0057	-0.0342	-0.0053	0.0155	0.0216	-0.0286	0.0098	0.1552	-0.0021	-0.1168	0.8952	-0.0486	-0.0486	0.2546	0.1057
GENIE-MSK-P-0000553-T01-IM3	0.0221	-0.3518	-0.1836	0.1776	-0.0358	-0.0816	0.1425	-0.067	-0.3293	-0.0217	-0.0217	-0.4778	0.1355	0.053	-0.2908	-0.2403	0.3277	-0.1357	-0.1357	0.4212	0.4212	-0.6375	-0.2279	0.1132	0.1132	-0.0752	0.0339	-0.1084	-0.1084	-0.2659	-0.4326	0.1175	0.1175	0.197	0.3364	0.1554	0.1755	-0.3576	-0.3576	0.0579	0.0689
GENIE-MSK-P-0000563-T01-IM3	0.0549	0.0549	0.172	0.172	0.0893	0.0698	-0.0552	-0.1134	-0.0164	0.0249	0.0249	-0.01	0.0016	-0.1013	-0.1013	-0.1057	-0.1057	0.049	0.0573	0.0031	0.0031	-0.0932	0.0824	0.0923	0.1168	0.0868	0.1612	0.0684	0.0422	0.3738	-0.232	-0.059	-0.059	0.1224	0.1774	0.1639	0.1639	-0.1077	-0.039	-0.0176	-0.008
GENIE-MSK-P-0000596-T01-IM3	-0.2522	-0.2522	-0.0367	-0.048	-0.0623	-0.0623	-0.042	0.0212	0.1967	0.0928	0.0928	0.0169	0.0169	-0.0441	-0.0452	-0.075	-0.075	0.0645	0.0645	0.0852	0.0852	-0.199	0.3185	0.1745	0.1745	0.2936	0.2936	-0.0702	-0.0702	-0.1188	-0.1188	-0.1032	-0.1032	0.2679	0.2679	-0.1551	0.2608	0.1257	0.1257	-0.1015	-0.1015
GENIE-MSK-P-0000604-T01-IM3	-0.0595	-0.0595	0.0998	0.0638	0.1017	0.0206	-0.0033	0.0667	-0.0554	0.2085	-0.0702	0.0697	0.0697	-0.0372	-0.0372	-0.0237	-0.024	0.0549	0.087	-0.0602	-0.0602	0.1286	0.0017	0.0109	0.0109	0.0714	0.0714	0.0635	0.0635	0.0989	0.0989	0.0838	0.0838	0.0513	0.0513	-0.0718	0.134	-0.0816	-0.0809	0.0026	0.0109
GENIE-MSK-P-0000621-T01-IM3	-0.0785	-0.0785	0.0833	0.0833	0.0064	0.0064	0.0317	0.0897	-0.1233	4e-04	4e-04	-0.0174	-0.004	-0.0473	-0.0473	0.0756	0.0756	0.0612	0.0612	0.1353	0.1353	0.2001	0.0992	0.01	-0.0135	-0.0919	0.1313	-0.0057	0.0198	-0.1065	-0.1065	0.1104	0.1104	0.1985	-0.059	-0.2361	0.2536	-0.1038	0.0316	0.0779	0.0779
GENIE-MSK-P-0000628-T01-IM3	-0.1107	-0.1107	0.5151	-0.1287	-0.1001	-0.1001	0.3637	0.5175	-0.0788	-0.0927	-0.8069	-0.0269	-0.0269	-0.1215	-0.1223	-0.1466	-0.1466	0.0248	0.4897	-0.0791	-0.0813	0.4675	-0.7156	-0.0605	-0.5298	-0.0649	0.2684	-0.144	-0.144	0.5685	-0.0551	0.3351	0.338	0.3315	-0.0662	-0.7343	0.0542	-0.1147	-0.1147	0.528	0.54
GENIE-MSK-P-0000638-T01-IM3	-0.0412	-0.0412	-0.009	-0.009	0.0034	0.0034	-0.0267	0.0063	-0.0626	0.0052	0.0052	-0.0021	0.0137	-0.0177	-0.0177	0.023	0.023	-0.0119	-0.0119	-0.1435	-0.1435	-0.0909	-0.0505	-0.0089	-0.0089	0.0142	0.0142	0.0298	0.0298	-0.0282	-0.0202	0.0164	0.0164	-2e-04	-2e-04	0.0359	0.0359	-0.0806	-0.08	-0.0278	-0.0278
GENIE-MSK-P-0000646-T02-IM3	-0.1035	-0.1035	-0.113	-0.113	-0.1013	-0.1013	-0.1731	-0.1129	-0.0768	-0.068	-0.068	-0.0959	-0.0959	-0.1062	-0.1062	0.1382	0.1382	-0.0341	-0.0341	0.0426	0.0426	-0.097	0.1167	0.0932	0.0575	0.2793	0.0437	-0.0841	-0.0812	-0.0615	-0.0618	-0.3028	-0.3028	0.29	0.1596	-0.0988	0.3345	-0.1167	-0.1059	-0.0284	-0.0229
GENIE-MSK-P-0000670-T01-IM3	-0.0854	-0.0854	0.0319	0.0319	-0.0198	-0.0198	0.0286	0.0496	-0.0626	0.2084	0.018	0.0655	0.0655	-0.0297	-0.0297	0.0833	0.0833	0.0079	0.0079	-0.0733	-0.0733	-0.0743	0.0261	-0.0207	-0.0207	0.0117	0.0117	-0.1573	-0.0691	0.0462	-0.026	-0.0173	-0.0173	0.0734	0.0734	-0.0361	-0.0361	-0.0903	-0.0903	-0.0867	-0.0867
GENIE-MSK-P-0000681-T01-IM3	-0.0318	-0.0318	-0.0106	-0.0106	0.0641	0.109	-0.1358	0.023	-0.1367	-0.1137	-0.1137	1e-04	1e-04	-0.0024	-0.0024	-0.1241	-0.1241	-0.0231	-0.0231	-0.1499	-0.1499	0.0295	-0.044	-0.0086	-0.0086	0.0982	0.0982	-0.0032	-0.0032	0.5431	0.0069	-0.0537	-0.0537	0.1257	0.1257	-0.1583	0.1542	-0.1194	-0.1194	-0.061	-0.061
GENIE-MSK-P-0000682-T01-IM3	-0.0478	-0.0478	0.0056	0.0056	0.0275	0.0275	0.2242	-0.0057	-0.071	0.0049	0.0049	0.0348	0.0348	0.0057	0.0057	-0.005	-0.005	0.0226	0.4176	-0.0473	-0.0845	-0.0566	-0.0155	0.0035	0.0035	0.0386	0.0386	0.0304	0.0304	-0.0433	-0.0491	0.2439	0.2439	0.0133	0.0133	-0.0633	0.3578	-0.0133	-0.0133	-0.0049	-0.0049
GENIE-MSK-P-0000686-T01-IM3	-0.3376	0.0745	0.2046	0.241	-0.2324	0.0329	-0.6513	0.0222	0.0133	0.123	-0.7223	-0.1386	0.1637	0.2963	-0.1299	-0.0906	0.1628	0.168	-0.2674	0.0097	0.0097	0.0706	0.0392	-0.2391	-0.2033	0.4157	-0.0075	0.1873	-0.1575	0.0859	0.1535	0.4976	0.2153	0.076	0.113	-0.1947	-0.1599	-0.1462	0.4952	0.0031	0.3396
GENIE-MSK-P-0000697-T01-IM3	0.0239	0.001	-0.0873	0.2996	0.0872	0.0402	-0.3402	0.0868	-0.1822	0.0918	0.0918	0.1047	-0.0011	-0.3252	-0.3252	0.0957	-0.3084	-0.0051	0.063	-0.0535	0.0281	-0.0552	0.2577	-0.1209	-0.1209	0.1392	0.0658	-0.3799	-0.3799	0.0475	0.0475	0.1272	0.1272	0.0293	0.2995	-0.0741	0.1401	-0.4137	-0.3693	-0.101	-0.101
GENIE-MSK-P-0000699-T01-IM3	-0.0978	-0.1169	-0.079	-0.079	0.0036	-0.0496	0.1189	0.1369	-0.2671	-0.0171	-0.0171	-0.2804	0.1222	-0.2391	-0.2391	-0.1659	-0.1659	-0.2585	0.3232	0.0826	0.0826	0.1814	-0.3155	-0.0147	-0.0147	0.138	0.1371	-0.3165	-0.3165	0.1148	-0.0495	0.1267	0.1624	0.0541	0.0541	0.0504	0.0485	-0.0791	-0.0791	0.1872	0.1739
GENIE-MSK-P-0000702-T01-IM3	-0.0279	-0.0279	-0.0728	-0.0596	0.0118	-0.0855	-0.041	-0.004	-0.0741	-0.1062	-0.1591	-0.3491	0.3197	0.0156	0.0156	-0.1279	-0.1233	-0.0105	0.4708	-0.0241	-0.0241	-0.0223	-0.1093	-0.0352	-0.0352	-0.0038	-0.0932	-0.0353	0.0163	0.2713	0.2713	0.0482	-0.2321	-0.0124	-0.0096	0.0052	0.0052	-0.0043	-0.0043	0.017	0.017
GENIE-MSK-P-0000704-T01-IM3	0.0421	-0.3295	-0.4856	-0.4856	0.0925	0.0212	0.0658	-0.1167	0.0625	0.0182	0.0182	-0.4901	0.0902	0.0846	-0.3917	-0.0062	0.085	0.0876	0.2496	-0.2555	0.0551	0.044	0.1362	0.0793	0.0793	-0.4162	0.2049	-0.3002	-0.0087	0.0549	0.1974	0.177	0.2209	-0.5092	-0.0371	-0.3179	0.379	-0.5369	0.0377	-0.3118	-0.3118
GENIE-MSK-P-0000721-T01-IM3	-0.0328	-0.1297	-0.0952	-0.0952	-0.173	-0.1731	0.4027	-0.0847	-0.1733	0.0979	0.0979	-0.2441	-0.1143	-0.126	-0.126	-0.1419	-0.1203	-0.1654	-0.1549	0.0563	0.0576	-0.2136	-0.0852	-0.0814	-0.0814	-0.1001	-0.098	-0.0584	-0.0584	-0.184	-0.1882	-0.1497	-0.1497	0.147	0.1409	-0.0584	0.3559	-0.1487	-0.0947	0.0221	0.0221
GENIE-MSK-P-0000731-T01-IM3	0.2744	0.2744	-0.3533	0.1437	-0.3336	0.2028	-0.4236	-0.1993	-0.0705	0.1709	0.1709	-0.4044	0.4701	-0.3609	-0.3609	-0.2541	0.0559	-0.0799	0.1355	0.0773	0.0773	0.1972	-0.1643	-0.1138	-0.1169	-0.0919	0.2251	0.0968	0.0559	-0.0645	-0.0645	-0.0554	-0.4033	0.3291	0.3291	-0.2779	0.4777	-0.3551	-0.0568	-0.1272	0.1037
GENIE-MSK-P-0000739-T01-IM3	-0.0276	-0.0066	-0.1217	-0.1101	0.2638	-0.008	0.8371	-0.027	-0.023	-0.1412	-0.1412	-0.2262	-0.221	-0.057	-0.616	0.0641	0.3837	-0.2025	-0.0061	0.754	0.7146	0.2833	-0.2409	0.0223	0.0274	-0.2021	-0.1884	-0.1569	-0.4268	-0.2279	-0.2298	0.4752	0.1094	0.3282	0.3282	-0.5342	0.2039	-0.1131	-0.1302	0.34	0.2339
GENIE-MSK-P-0000740-T01-IM3	-0.357	-0.357	0.1756	0.1756	0.2124	0.1973	-0.3893	-0.3706	0.2169	0.1707	0.1707	-0.4017	-0.4017	0.2725	0.2725	0.1488	0.1488	-0.3904	-0.3904	0.1989	0.1989	0.1643	0.2169	-0.3628	-0.3628	0.2636	0.2636	0.2188	0.2932	0.1897	0.1829	-0.3388	-0.3388	0.2614	0.2614	0.2338	0.2338	0.148	0.148	-0.2316	-0.0815
GENIE-MSK-P-0000746-T01-IM3	-0.0164	-0.0154	-0.2351	0.0345	0.0104	-0.1714	-0.0858	-0.0966	-0.143	-0.1376	-0.1376	-0.1301	0.2306	-0.035	-0.035	-0.1039	0.132	0.1224	0.1344	-0.0412	-0.0763	0.0527	-0.1225	-0.0502	-0.0067	0.1177	0.0671	-0.0337	-0.0337	-0.0507	0.0011	-0.0133	0.0371	2e-04	0.0467	0.1392	0.1392	-0.1067	0.0539	0.0789	-0.0456
GENIE-MSK-P-0000749-T01-IM3	-0.276	-0.276	0.0528	0.0735	0.0618	0.2523	0.062	-0.0917	-0.1781	-0.0866	-0.2344	0.0451	0.02	0.2586	0.1041	-0.1084	-0.1084	0.047	0.0236	0.0186	0.0186	0.0308	-0.3306	-0.0165	-0.0369	0.0977	0.2283	0.1439	0.0663	0.1634	-0.1116	-0.2941	0.1809	0.1437	0.113	0.0909	0.0624	-0.3063	0.0392	-0.5497	-0.2137
