sample	10p	10q	11p	11q	12p	12q	13q	14q	15q	16p	16q	17p	17q	18p	18q	19p	19q	1p	1q	20p	20q	21q	22q	2p	2q	3p	3q	4p	4q	5p	5q	6p	6q	7p	7q	8p	8q	9p	9q	Xp	Xq
GENIE-MSK-P-0020175-T01-IM6	0.0435	0.0435	-0.0331	-0.0331	-0.0245	-0.0245	0.0049	-0.0092	0.0503	0.0109	0.0109	-9e-04	-9e-04	-0.1187	-0.1187	0.0507	0.0507	0.0589	0.0272	-0.0404	0.1627	0.0299	0.0455	0.0659	0.0659	-0.078	0.0165	0.0195	0.0195	-0.0073	-0.0073	-0.0787	-0.1064	0.1798	0.0224	-0.0109	-0.0525	-0.1188	0.1363	-0.0381	-0.0381
GENIE-MSK-P-0020226-T01-IM6	0.0052	0.0052	-0.0016	-0.005	-0.033	-0.033	-0.1111	-0.046	-0.0362	0.1264	0.1264	-0.0591	0.1573	0.0726	-0.2085	0.0094	0.1727	-0.0244	-0.0244	0.1916	0.1916	-0.0596	-0.0112	0.0559	0.0559	-0.0442	0.1937	-0.0989	-0.0989	0.165	-0.0788	-0.0447	-0.0447	0.1303	0.1085	8e-04	8e-04	-0.1831	0.0629	-0.1266	-0.1266
GENIE-MSK-P-0020252-T01-IM6	0.0085	0.0085	-0.0075	-0.0075	-0.0187	-0.0187	-0.0086	-0.0054	-0.0015	-0.0149	-0.0149	-0.012	-0.012	-0.0094	-0.0094	-0.0186	-0.0186	-0.0118	-0.0118	-0.0057	-0.0057	-8e-04	-0.0153	0.0015	0.0015	-0.0047	-0.0047	0.0111	0.0111	-0.0141	-0.0141	-0.0654	-0.0362	-0.0051	-0.0051	0.0847	0.0847	-0.0049	-0.0049	-0.3332	-0.3259
GENIE-MSK-P-0020399-T01-IM6	0.0509	0.0352	0.0048	0.0048	-0.0078	-0.0131	0.0104	0.0346	0.0436	0.0739	-0.0518	0.0023	-0.0115	-0.0043	-0.0043	0.0323	0.2377	-0.0057	-0.0057	0.0634	0.0634	0.0537	0.0406	0	0	0.0086	0.0078	0.0352	0.0352	0.0437	-6e-04	-0.0915	-0.0915	0.0188	0.0188	0.0127	0.0127	0.0217	0.0571	-0.0452	-0.0452
GENIE-MSK-P-0020422-T01-IM6	0.0106	0.0106	0.0367	0.0367	0.0287	0.008	-0.0839	-0.1005	0.0858	-0.0704	-0.0704	0.02	0.02	-0.1539	-0.1539	-0.0835	-0.0446	-0.0139	-0.0139	0.079	0.079	-0.0188	-0.0774	0.0699	0.007	-0.0211	-0.0211	-0.0477	-0.05	0.0821	-0.1347	-0.1001	-0.0525	-0.006	-0.006	-0.1088	0.1741	-0.0733	-0.0733	-0.2123	-0.1691
GENIE-MSK-P-0020489-T01-IM6	0.0151	0.0405	0.0798	0.0223	-0.0858	0.0881	-0.0069	0.1067	-0.0475	0.0352	0.0352	0.1183	0.0881	-0.0785	-0.0785	-0.1013	-0.1013	-0.0432	0.0021	0.0645	0.0645	0.1201	-0.017	0.0472	0.0472	-0.0214	0.0335	-0.0166	-0.0166	-0.0359	-0.0137	0.1417	-0.0365	-0.0045	-0.0045	0.1044	0.1044	-0.0565	-0.0471	-0.1339	-0.1339
GENIE-MSK-P-0020542-T01-IM6	0.0853	0.0575	-0.2176	-0.2421	0.0146	0.0061	-0.1964	-0.512	-0.2065	-0.2063	-0.2063	0.0051	0.0218	-0.1594	-0.52	0.178	0.178	-0.0933	0.326	0.0547	0.0547	0.0726	0.0248	-0.2243	-0.2543	0.4163	0.4285	-0.0495	-0.0495	0.2692	0.2412	-0.0779	-0.0779	-0.2075	-0.2016	-0.2594	0.747	0.0365	0.0365	-0.0471	-0.0471
GENIE-MSK-P-0020591-T01-IM6	0.1117	-0.0066	-0.1157	-0.1762	0.1439	0.061	-0.4735	-0.0452	0.0547	0.0969	-0.0522	-0.2688	0.0866	0.3456	0.0299	0.0983	0.2031	0.017	-0.0083	0.0324	0.1031	-0.2112	0.189	0.2092	0.0404	-0.2131	0.2123	-0.2933	-0.2023	0.1348	0.1519	-0.1692	-0.0182	0.2117	-0.0998	-0.3867	0.3704	-0.3251	-0.0215	-0.2495	-0.0501
GENIE-MSK-P-0020592-T01-IM6	-0.0921	-0.0921	0.0019	0.169	0.2615	-0.078	0.0896	-0.1658	-0.0947	0.1045	-0.3095	-0.0291	0.1107	-0.1404	-0.141	0.0016	0.0101	0.0026	0.0473	0.2339	0.2339	0.1501	-0.1866	-0.061	-0.2015	0.0886	0.0892	0.0432	0.0432	0.6151	-0.2125	0.358	-0.1957	0.1046	0.1046	-0.3177	-0.1264	0.2304	-0.0411	0.0431	0.0731
GENIE-MSK-P-0020594-T01-IM6	-0.2459	0.1396	-0.1056	0.1129	0.257	-0.1733	0.1287	0.1063	-0.5161	-0.1522	-0.6002	-0.0116	0.0735	0.3389	0.2512	0.112	0.4789	-0.1538	-0.1762	0.7655	0.7658	0.0845	-0.1228	0.0845	0.0964	-0.1519	0.3578	-0.5036	-0.5036	0.0664	0.0664	0.93	0.0344	-0.1131	-0.1131	-0.5323	-0.0147	-0.0299	-0.0666	-0.8465	-0.6514
